type,country,id,community
company,Nalakond,Spanish Shrimp  Carriers,0
organization,Unknown,185040354,4
organization,Unknown,4,4
organization,Unknown,860067396,0
organization,Unknown,664738735,0
location,Unknown,77b46bc7-7e31-41a0-973c-e633011d21b0,4
organization,Unknown,7,4
organization,Unknown,7,4
organization,Unknown,35,4
political_organization,Unknown,6406040,4
person,Country_271835,Jamie Knox,4
organization,Unknown,3506021,0
political_organization,Unknown,348079,0
political_organization,Unknown,78,0
organization,Unknown,300668979,0
organization,Unknown,2,10
organization,Unknown,5,8
organization,Unknown,7298083,4
organization,Unknown,9,10
person,Oceanus,Amanda Mckenzie,8
organization,Unknown,8698,1
person,Country_271835,Claire Russell,1
organization,Unknown,964,1
organization,Unknown,93873119,4
person,Country_271835,Jeremy Cordova,10
location,Unknown,602ea158-0519-47fc-badc-787721580418,10
organization,Unknown,551,0
organization,Unknown,380,0
location,Unknown,f20779bf-63b5-4ea4-bb5f-944bb9449bce,10
organization,Unknown,349,10
organization,Unknown,84616,10
location,Unknown,ee05a28e-82ba-4f1d-a60f-68797a422ada,0
organization,Unknown,83,0
Uncategorized,Unknown,âunregulatedâ,10
organization,Unknown,2989,4
location,Unknown,df42b319-be6a-4a2e-b11d-c4da7ecfc01c,0
organization,Unknown,185106,0
organization,Unknown,26,10
organization,Unknown,860600018,9
organization,Unknown,435054320,2
vessel,Unknown,Cutter,2
Uncategorized,Unknown,Sept,8
person,Nalakond,John Gonzalez,9
organization,Unknown,9203,10
organization,Unknown,3878194,0
person,Country_271835,Amy Kent,0
Uncategorized,Unknown,Conventionâ,0
vessel,Unknown,water fishing,10
organization,Unknown,760079,10
organization,Unknown,3009706,10
location,Unknown,0f5fd4f9-1683-464e-9459-a4488de5064b,0
organization,Unknown,449308,4
organization,Unknown,200640636,0
person,Country_271835,Debbie Daniel,0
company,Country_628643,png xi  Line,10
organization,Unknown,7361,4
organization,Unknown,5848,0
location,Unknown,d5b94ebc-e03a-438e-872b-a15db349a748,10
person,Country_271835,Ashley Wiggins,10
organization,Unknown,737205,4
person,Country_271835,Clayton Rodgers,10
person,Country_271835,Randy Collins,10
person,Country_271835,Brandon Berger,10
organization,Unknown,4783,10
organization,Unknown,47924922,1
political_organization,Unknown,12845006,1
organization,Unknown,9488645,1
person,Merigrad,Lauren Moore,4
Uncategorized,Unknown,âlocalâ,4
Uncategorized,Unknown,Leominster Provincetownâ,4
location,Unknown,371bf15a-3000-499a-88e4-cc096b028ec7,0
political_organization,Unknown,913428,0
person,Country_271835,Jason Davis,1
person,Country_271835,Kyle Stanton,10
organization,Unknown,47562016,0
company,Vesperlandia,Mar del Oeste Pic,10
organization,Unknown,8327,2
organization,Unknown,40213337,2
vessel,Unknown,cutters,2
vessel,Unknown,Coast,2
event,Unknown,Today,2
organization,Unknown,4146760,10
organization,Unknown,9786,0
person,Country_271835,Stephanie Garner,0
person,Country_271835,Jeremy Norris,2
vessel,Unknown,Ocean Tuna,4
organization,Unknown,262157542,4
organization,Unknown,46194,4
organization,Unknown,9204971,4
organization,Unknown,2230601,4
vessel,Unknown,Explorer,10
organization,Unknown,36295,0
person,Country_271835,Jeremiah Delacruz,0
event,Unknown,âsquids,0
event,Unknown,âclams,0
event,Unknown,Octopus,0
organization,Unknown,60253,0
organization,Unknown,13015105,0
event,Unknown,âSocioeconomic,0
person,Country_271835,Jeffrey Yates,10
organization,Unknown,1465792,10
organization,Unknown,657,10
organization,Unknown,760402,2
person,Country_271835,Tyler Brown,2
company,Country_271835,Cape of Good Hope  Oyj,10
