type,country,id,community
company,Nalakond,Spanish Shrimp  Carriers,3
organization,Unknown,185040354,4
organization,Unknown,4,4
organization,Unknown,860067396,3
organization,Unknown,664738735,3
location,Unknown,77b46bc7-7e31-41a0-973c-e633011d21b0,0
organization,Unknown,7,4
organization,Unknown,7,4
organization,Unknown,35,4
political_organization,Unknown,6406040,4
person,Country_271835,Jamie Knox,4
organization,Unknown,3506021,3
political_organization,Unknown,348079,3
political_organization,Unknown,78,3
organization,Unknown,300668979,3
organization,Unknown,2,3
organization,Unknown,5,8
organization,Unknown,7298083,4
organization,Unknown,9,8
organization,Unknown,8698,7
person,Country_271835,Claire Russell,7
organization,Unknown,964,7
organization,Unknown,93873119,4
person,Country_271835,Jeremy Cordova,5
location,Unknown,602ea158-0519-47fc-badc-787721580418,5
location,Unknown,f20779bf-63b5-4ea4-bb5f-944bb9449bce,5
organization,Unknown,349,5
organization,Unknown,84616,5
location,Unknown,ee05a28e-82ba-4f1d-a60f-68797a422ada,3
organization,Unknown,83,3
Uncategorized,Unknown,âunregulatedâ,5
organization,Unknown,2989,4
location,Unknown,df42b319-be6a-4a2e-b11d-c4da7ecfc01c,2
organization,Unknown,185106,2
organization,Unknown,26,5
organization,Unknown,860600018,0
organization,Unknown,435054320,2
vessel,Unknown,Cutter,2
Uncategorized,Unknown,Sept,8
person,Nalakond,John Gonzalez,0
organization,Unknown,9203,5
organization,Unknown,3878194,3
person,Country_271835,Amy Kent,3
Uncategorized,Unknown,Conventionâ,3
vessel,Unknown,water fishing,5
organization,Unknown,760079,5
organization,Unknown,3009706,5
location,Unknown,0f5fd4f9-1683-464e-9459-a4488de5064b,3
organization,Unknown,449308,4
organization,Unknown,200640636,3
person,Country_271835,Debbie Daniel,3
company,Country_628643,png xi  Line,5
organization,Unknown,7361,4
organization,Unknown,5848,3
location,Unknown,d5b94ebc-e03a-438e-872b-a15db349a748,5
person,Country_271835,Ashley Wiggins,5
organization,Unknown,737205,4
person,Country_271835,Clayton Rodgers,5
person,Country_271835,Randy Collins,5
person,Country_271835,Brandon Berger,5
organization,Unknown,4783,5
organization,Unknown,47924922,7
political_organization,Unknown,12845006,7
organization,Unknown,9488645,7
person,Merigrad,Lauren Moore,4
Uncategorized,Unknown,âlocalâ,4
Uncategorized,Unknown,Leominster Provincetownâ,4
location,Unknown,371bf15a-3000-499a-88e4-cc096b028ec7,3
political_organization,Unknown,913428,3
person,Country_271835,Jason Davis,7
person,Country_271835,Kyle Stanton,5
company,Vesperlandia,Mar del Oeste Pic,5
organization,Unknown,8327,2
organization,Unknown,40213337,2
vessel,Unknown,cutters,2
vessel,Unknown,Coast,2
event,Unknown,Today,2
organization,Unknown,4146760,5
organization,Unknown,9786,3
person,Country_271835,Stephanie Garner,3
person,Country_271835,Jeremy Norris,5
vessel,Unknown,Ocean Tuna,4
organization,Unknown,262157542,4
organization,Unknown,46194,4
organization,Unknown,9204971,4
organization,Unknown,2230601,4
vessel,Unknown,Explorer,5
organization,Unknown,36295,3
person,Country_271835,Jeremiah Delacruz,3
event,Unknown,âsquids,3
event,Unknown,âclams,3
event,Unknown,Octopus,3
organization,Unknown,60253,3
organization,Unknown,13015105,3
event,Unknown,âSocioeconomic,3
person,Country_271835,Jeffrey Yates,5
organization,Unknown,1465792,5
organization,Unknown,657,5
organization,Unknown,760402,2
person,Country_271835,Tyler Brown,2
company,Country_271835,Cape of Good Hope  Oyj,5
organization,Unknown,874124852,5
location,Unknown,705283b0-cdb7-4f0a-8481-b3fea243a8e5,5
vessel,Unknown,Boat,2
person,Country_271835,Teresa Rivera,2
vessel,Unknown,salmon,5
person,Country_271835,George Ramirez,5
organization,Unknown,7320771,3
organization,Unknown,94760735,3
Uncategorized,Unknown,Aleut Community St,7
Uncategorized,Unknown,KanuuxÌ,7
location,Unknown,e8036bce-0679-41d2-aa7b-d444163ae65a,7
Uncategorized,Unknown,âSewardâs Follyâ,5
Uncategorized,Unknown,âAlaÄum KanuuxÌ,7
organization,Unknown,42603647,4
organization,Unknown,8544797,4
organization,Unknown,5070599,4
organization,Unknown,8966,4
organization,Unknown,39,4
location,Unknown,e53552bc-174b-4799-b96b-c23cfa0731cb,0
organization,Unknown,9166,0
organization,Unknown,48,2
location,Unknown,c14a3dc1-59d0-4b92-b9f3-331e51912787,8
organization,Unknown,505943,4
organization,Unknown,79538,0
person,Country_271835,Kevin Norton,0
Uncategorized,Unknown,âgreenâ,5
organization,Unknown,36,5
person,Country_271835,Amy Wise,8
