type,country,id,community
company,Nalakond,Spanish Shrimp  Carriers,0
organization,Unknown,185040354,5
company,Rio Isla,Faroe Islands Shrimp Shark,9
organization,Unknown,341411,6
organization,Unknown,853949688,6
organization,Unknown,650512,6
organization,Unknown,14253815,6
location,Unknown,4369922c-ce1d-40ff-904c-1f6a3000bf6b,6
company,Country_271835,Saltwater Solitude GmbH & Co. KG,6
Uncategorized,Unknown,PRK,6
Uncategorized,Unknown,âVikingâ,6
organization,Unknown,506,13
organization,Unknown,4937447,13
Uncategorized,Unknown,âregularâ,6
organization,Unknown,2079436,6
person,Country_712875,Elizabeth Welch,6
location,Unknown,da0a7bbb-5bd1-42aa-bcc0-b8923d5c15d4,6
person,Country_271835,Eugene Ochoa,6
organization,Unknown,967900443,6
person,Country_271835,Lisa Jimenez,6
organization,Unknown,1,6
location,Unknown,445a6124-4650-4e5a-83bb-a0e0b4040ee9,6
organization,Unknown,4,5
organization,Unknown,4975,5
organization,Unknown,7282284,5
organization,Unknown,860067396,0
organization,Unknown,664738735,0
location,Unknown,77b46bc7-7e31-41a0-973c-e633011d21b0,0
organization,Unknown,7,5
organization,Unknown,7,5
organization,Unknown,35,5
political_organization,Unknown,6406040,5
person,Country_271835,Jamie Knox,5
organization,Unknown,3506021,0
political_organization,Unknown,348079,0
political_organization,Unknown,78,0
organization,Unknown,300668979,0
organization,Unknown,47679,6
organization,Unknown,425887173,14
organization,Unknown,69150209,9
organization,Unknown,2,8
person,Nalakond,Derek Burke,9
political_organization,Unknown,490653,6
organization,Unknown,775298545,6
organization,Unknown,26676370,6
company,Country_271835,Viento Azul Harbor LLC Investment,6
vessel,Unknown,Viking fishing,6
organization,Unknown,5,12
location,Unknown,0715f2ea-3d11-4eaa-a0c4-fb3290896531,13
person,Oceanus,Andrea Gibson,14
organization,Unknown,7298083,5
organization,Unknown,21,13
organization,Unknown,6,13
person,Country_271835,Alexander Buchanan,13
person,Oceanus,Maria Mitchell,13
organization,Unknown,9,8
person,Oceanus,Amanda Mckenzie,12
organization,Unknown,8698,15
person,Country_271835,Claire Russell,15
organization,Unknown,964,15
person,Country_271835,Scott Medina,6
organization,Unknown,93873119,5
person,Country_271835,Jeremy Cordova,8
location,Unknown,602ea158-0519-47fc-badc-787721580418,8
organization,Unknown,551,0
organization,Unknown,380,0
location,Unknown,f20779bf-63b5-4ea4-bb5f-944bb9449bce,8
organization,Unknown,349,8
person,Country_271835,Anne Anderson,6
person,Country_271835,Brian Nelson,6
organization,Unknown,84616,8
location,Unknown,ee05a28e-82ba-4f1d-a60f-68797a422ada,0
organization,Unknown,83,0
