type,country,id,community
company,Nalakond,Spanish Shrimp  Carriers,0
organization,Unknown,12744,1
organization,Unknown,143129355,14
organization,Unknown,7775,5
organization,Unknown,1017141,5
organization,Unknown,2591586,1
organization,Unknown,185040354,2
company,Rio Isla,Faroe Islands Shrimp Shark,2
organization,Unknown,341411,4
organization,Unknown,21323516,0
organization,Unknown,8561,5
person,Country_271835,William Bradley,19
person,Country_271835,Joseph Griffin,19
Uncategorized,Unknown,âŠâ,19
organization,Unknown,853949688,2
organization,Unknown,650512,2
organization,Unknown,128692,13
organization,Unknown,172711,13
person,Country_789455,Jacob Caldwell,25
organization,Unknown,14253815,4
location,Unknown,4369922c-ce1d-40ff-904c-1f6a3000bf6b,4
company,Country_271835,Saltwater Solitude GmbH & Co. KG,4
Uncategorized,Unknown,PRK,4
Uncategorized,Unknown,âVikingâ,4
organization,Unknown,506,16
organization,Unknown,4937447,16
Uncategorized,Unknown,âregularâ,16
organization,Unknown,2079436,16
organization,Unknown,589,19
person,Country_712875,Elizabeth Welch,4
location,Unknown,da0a7bbb-5bd1-42aa-bcc0-b8923d5c15d4,4
person,Country_271835,Eugene Ochoa,7
organization,Unknown,967900443,7
person,Country_271835,Lisa Jimenez,4
organization,Unknown,1,2
location,Unknown,445a6124-4650-4e5a-83bb-a0e0b4040ee9,4
organization,Unknown,4,2
organization,Unknown,4975,2
organization,Unknown,7282284,2
organization,Unknown,0,5
person,Country_271835,Sean Vasquez,5
organization,Unknown,196159,5
organization,Unknown,755,5
organization,Unknown,860067396,0
organization,Unknown,664738735,0
organization,Unknown,290834957,2
person,Country_271835,Timothy Reeves,5
organization,Unknown,457009514,2
organization,Unknown,6043477,5
organization,Unknown,526269,2
person,Oceanus,Jason Cameron,2
location,Unknown,77b46bc7-7e31-41a0-973c-e633011d21b0,2
organization,Unknown,7,2
organization,Unknown,7,16
organization,Unknown,35,2
political_organization,Unknown,6406040,2
person,Country_271835,Jamie Knox,2
person,Country_271835,Kristin Graham,2
organization,Unknown,99575926,2
political_organization,Unknown,72371354,4
organization,Unknown,55,3
political_organization,Unknown,766649,13
organization,Unknown,955425,3
organization,Unknown,132,3
organization,Unknown,8701038,2
organization,Unknown,9067,5
organization,Unknown,750975,5
organization,Unknown,3404599,5
political_organization,Unknown,85117949,5
organization,Unknown,3506021,0
political_organization,Unknown,348079,0
political_organization,Unknown,78,0
organization,Unknown,95,3
organization,Unknown,245,6
organization,Unknown,300668979,0
Uncategorized,Unknown,âNoticesââ,0
organization,Unknown,651,0
political_organization,Unknown,7845,5
organization,Unknown,265700083,25
organization,Unknown,47679,13
location,Unknown,d0123474-8425-4ab0-90d5-175920158638,19
organization,Unknown,425887173,16
organization,Unknown,86597,2
location,Unknown,405ab2a5-68f0-4304-ab94-24c7995a248e,2
political_organization,Unknown,44842,2
location,Unknown,e2b334d9-4d51-40b2-a7b1-441b88400b75,2
political_organization,Unknown,68,2
organization,Unknown,610,2
organization,Unknown,4063,9
organization,Unknown,740523,9
vessel,Unknown,Marine,9
Uncategorized,Unknown,255â273,1
location,Unknown,91dcf36d-dba8-41e8-a4cc-912981a27296,2
organization,Unknown,69150209,12
organization,Unknown,2,1
organization,Unknown,72,12
organization,Unknown,35881,12
location,Unknown,06430a2c-805a-4a76-bbda-2a24c0c860d7,2
person,Nalakond,Derek Burke,12
political_organization,Unknown,490653,16
political_organization,Unknown,888,3
organization,Unknown,775298545,2
organization,Unknown,26676370,2
company,Country_271835,Viento Azul Harbor LLC Investment,4
vessel,Unknown,Viking fishing,4
organization,Unknown,44956,5
political_organization,Unknown,3,5
organization,Unknown,5,17
location,Unknown,0715f2ea-3d11-4eaa-a0c4-fb3290896531,16
vessel,Unknown,77,21
person,Oceanus,Andrea Gibson,16
movement,Unknown,hours,1
organization,Unknown,7298083,2
organization,Unknown,21,16
organization,Unknown,6,16
person,Country_271835,Alexander Buchanan,16
person,Oceanus,Maria Mitchell,16
organization,Unknown,9,1
location,Unknown,14bda3bb-9993-4265-97cc-1747808c144e,9
person,Oceanus,Amanda Mckenzie,1
organization,Unknown,8698,8
person,Country_271835,Claire Russell,8
organization,Unknown,964,8
person,Country_271835,Scott Medina,4
organization,Unknown,2262,3
organization,Unknown,93873119,2
person,Country_271835,Jeremy Cordova,1
location,Unknown,602ea158-0519-47fc-badc-787721580418,1
person,Country_271835,Victoria Parks,4
Uncategorized,Unknown,St,4
location,Unknown,e40c01a4-8ed5-400f-857d-31e7bd263e35,4
organization,Unknown,49494,20
organization,Unknown,551,0
person,Country_271835,Bryan Taylor,13
organization,Unknown,380,0
location,Unknown,f20779bf-63b5-4ea4-bb5f-944bb9449bce,1
organization,Unknown,349,1
organization,Unknown,97453782,1
organization,Unknown,71835024,6
person,Country_271835,Anne Anderson,7
person,Country_271835,Brian Nelson,1
organization,Unknown,78590886,28
organization,Unknown,7209,28
organization,Unknown,79139,28
organization,Unknown,78135,28
organization,Unknown,5810,28
organization,Unknown,704138011,28
organization,Unknown,84616,1
organization,Unknown,12731,12
location,Unknown,ee05a28e-82ba-4f1d-a60f-68797a422ada,0
political_organization,Unknown,82344,9
organization,Unknown,58,9
