type,country,id,community
company,Nalakond,Spanish Shrimp  Carriers,0
organization,Unknown,12744,1
organization,Unknown,7775,2
organization,Unknown,1017141,3
organization,Unknown,2591586,3
organization,Unknown,185040354,3
company,Rio Isla,Faroe Islands Shrimp Shark,3
organization,Unknown,341411,9
organization,Unknown,21323516,2
organization,Unknown,8561,2
person,Country_271835,William Bradley,18
person,Country_271835,Joseph Griffin,18
Uncategorized,Unknown,âŠâ,18
organization,Unknown,853949688,9
organization,Unknown,650512,9
organization,Unknown,128692,11
organization,Unknown,172711,11
person,Country_789455,Jacob Caldwell,24
organization,Unknown,14253815,9
location,Unknown,4369922c-ce1d-40ff-904c-1f6a3000bf6b,9
company,Country_271835,Saltwater Solitude GmbH & Co. KG,9
Uncategorized,Unknown,PRK,9
Uncategorized,Unknown,âVikingâ,9
organization,Unknown,506,10
organization,Unknown,4937447,10
Uncategorized,Unknown,âregularâ,11
organization,Unknown,2079436,11
organization,Unknown,589,1
person,Country_712875,Elizabeth Welch,9
location,Unknown,da0a7bbb-5bd1-42aa-bcc0-b8923d5c15d4,9
person,Country_271835,Eugene Ochoa,11
organization,Unknown,967900443,11
person,Country_271835,Lisa Jimenez,9
organization,Unknown,1,9
location,Unknown,445a6124-4650-4e5a-83bb-a0e0b4040ee9,9
organization,Unknown,4,3
organization,Unknown,4975,9
organization,Unknown,7282284,9
organization,Unknown,0,2
person,Country_271835,Sean Vasquez,2
organization,Unknown,196159,2
organization,Unknown,755,2
organization,Unknown,860067396,0
organization,Unknown,664738735,0
organization,Unknown,290834957,3
person,Country_271835,Timothy Reeves,2
organization,Unknown,457009514,3
organization,Unknown,6043477,3
organization,Unknown,526269,3
person,Oceanus,Jason Cameron,5
location,Unknown,77b46bc7-7e31-41a0-973c-e633011d21b0,3
organization,Unknown,7,3
organization,Unknown,7,3
organization,Unknown,35,3
political_organization,Unknown,6406040,3
person,Country_271835,Jamie Knox,3
person,Country_271835,Kristin Graham,3
organization,Unknown,99575926,3
political_organization,Unknown,72371354,9
organization,Unknown,132,6
organization,Unknown,8701038,3
organization,Unknown,9067,2
organization,Unknown,750975,2
organization,Unknown,3404599,2
political_organization,Unknown,85117949,2
organization,Unknown,3506021,0
political_organization,Unknown,348079,0
political_organization,Unknown,78,0
organization,Unknown,95,0
organization,Unknown,245,7
organization,Unknown,300668979,0
political_organization,Unknown,7845,2
organization,Unknown,265700083,24
organization,Unknown,47679,11
location,Unknown,d0123474-8425-4ab0-90d5-175920158638,18
organization,Unknown,425887173,4
organization,Unknown,86597,3
location,Unknown,405ab2a5-68f0-4304-ab94-24c7995a248e,3
political_organization,Unknown,44842,3
location,Unknown,e2b334d9-4d51-40b2-a7b1-441b88400b75,3
political_organization,Unknown,68,3
organization,Unknown,610,3
organization,Unknown,4063,7
organization,Unknown,740523,7
vessel,Unknown,Marine,7
Uncategorized,Unknown,255â273,1
location,Unknown,91dcf36d-dba8-41e8-a4cc-912981a27296,3
organization,Unknown,69150209,14
organization,Unknown,2,12
organization,Unknown,72,14
organization,Unknown,35881,14
location,Unknown,06430a2c-805a-4a76-bbda-2a24c0c860d7,3
person,Nalakond,Derek Burke,14
political_organization,Unknown,490653,11
organization,Unknown,775298545,9
organization,Unknown,26676370,9
company,Country_271835,Viento Azul Harbor LLC Investment,9
vessel,Unknown,Viking fishing,9
organization,Unknown,44956,2
political_organization,Unknown,3,2
organization,Unknown,5,19
location,Unknown,0715f2ea-3d11-4eaa-a0c4-fb3290896531,10
vessel,Unknown,77,17
person,Oceanus,Andrea Gibson,4
movement,Unknown,hours,10
organization,Unknown,7298083,3
organization,Unknown,21,4
organization,Unknown,6,4
person,Country_271835,Alexander Buchanan,4
person,Oceanus,Maria Mitchell,11
organization,Unknown,9,12
location,Unknown,14bda3bb-9993-4265-97cc-1747808c144e,7
person,Oceanus,Amanda Mckenzie,12
organization,Unknown,8698,22
person,Country_271835,Claire Russell,22
organization,Unknown,964,22
person,Country_271835,Scott Medina,9
organization,Unknown,2262,0
organization,Unknown,93873119,3
person,Country_271835,Jeremy Cordova,12
location,Unknown,602ea158-0519-47fc-badc-787721580418,12
person,Country_271835,Victoria Parks,9
Uncategorized,Unknown,St,12
location,Unknown,e40c01a4-8ed5-400f-857d-31e7bd263e35,9
organization,Unknown,49494,6
organization,Unknown,551,0
person,Country_271835,Bryan Taylor,0
organization,Unknown,380,0
location,Unknown,f20779bf-63b5-4ea4-bb5f-944bb9449bce,12
organization,Unknown,349,12
organization,Unknown,97453782,12
organization,Unknown,71835024,12
person,Country_271835,Anne Anderson,9
person,Country_271835,Brian Nelson,9
organization,Unknown,84616,12
organization,Unknown,12731,14
location,Unknown,ee05a28e-82ba-4f1d-a60f-68797a422ada,0
political_organization,Unknown,82344,7
organization,Unknown,58,7
person,Country_19028,Cynthia Williams,7
Uncategorized,Unknown,Armed Robberyâ,7
organization,Unknown,76,7
organization,Unknown,76,7
organization,Unknown,6731,7
organization,Unknown,83,0
person,Vesperanda,Ms. Stephanie Rivera DDS,14
organization,Unknown,665,14
organization,Unknown,89772543,11
Uncategorized,Unknown,âunregulatedâ,12
